龙珠Z：复活的弗利萨 ドラゴンボールZ 復活のF|| 评分：5.6|| 导演: 山室直儀|| 主演: 野泽雅子 / 中尾隆圣 / 山寺宏一|| 类型: 动画|| 制片国家/地区: 日本|| 年份: 2015
热血雷锋侠之激情营救|| 评分：2.4|| 导演: 黄军|| 类型: 剧情 / 动画|| 制片国家/地区: 中国大陆|| 年份: 2016
异性合租的往事|| 评分：5.0|| 导演: 谢家良|| 主演: 何明翰 / 周韦彤 / 杨恭如|| 类型: 喜剧|| 制片国家/地区: 中国大陆|| 年份: 2016
杠上开花|| 评分：3.7|| 导演: 贾一平|| 主演: 贾一平 / 袁弘 / 刘雨欣|| 类型: 喜剧 / 悬疑|| 制片国家/地区: 中国大陆|| 年份: 2016
大会师|| 评分：3.2|| 导演: 安澜|| 主演: 王晖 / 侯勇 / 侯祥玲|| 类型: 历史 / 战争|| 制片国家/地区: 中国大陆|| 年份: 2016
但丁密码 Inferno|| 评分：6.2|| 导演: 朗·霍华德|| 主演: 汤姆·汉克斯 / 菲丽希缇·琼斯 / 本·福斯特|| 类型: 悬疑 / 惊悚|| 制片国家/地区: 美国/匈牙利|| 年份: 2016
魔发精灵 Trolls|| 评分：7.2|| 导演: 迈克·米切尔 / 沃尔特·道恩|| 主演: 安娜·肯德里克 / 贾斯汀·汀布莱克 / 佐伊·丹斯切尔|| 类型: 动画 / 奇幻 / 冒险 / 歌舞|| 制片国家/地区: 美国|| 年份: 2016
驴得水|| 评分：8.3|| 导演: 周申 / 刘露|| 主演: 任素汐 / 大力 / 刘帅良|| 类型: 剧情 / 喜剧|| 制片国家/地区: 中国大陆|| 年份: 2016
育婴室|| 评分：4.7|| 导演: 皮查农·塔玛杰拉|| 主演: 皮查雅·瓦塔那蒙迪里 / 朱一龙 / 徐洁儿|| 类型: 恐怖 / 古装|| 制片国家/地区: 中国大陆/泰国|| 年份: 2016
小明和他的小伙伴们|| 评分：4.1|| 导演: 王鑫|| 主演: 乔杉 / 许君聪 / 费伟妮|| 类型: 喜剧|| 制片国家/地区: 中国大陆|| 年份: 2016
何去何从|| 评分：5.0|| 导演: 关晶|| 主演: 中泉英雄 / 漆子美 / 李婳|| 类型: 剧情 / 战争|| 制片国家/地区: 中国大陆|| 年份: 2016
枕边有张脸2|| 评分：3.2|| 导演: 赵小溪|| 主演: 赵慧仙 / 田家大 / 胡睿|| 类型: 悬疑 / 惊悚|| 制片国家/地区: 中国大陆|| 年份: 2016
钢铁骑士 Max Steel|| 评分：3.8|| 导演: 斯特瓦特·亨德尔|| 主演: 本·温切尔 / 乔什·布雷纳 / 玛丽亚·贝罗|| 类型: 动作 / 科幻 / 冒险|| 制片国家/地区: 美国|| 年份: 2016
聊斋新编之画皮新娘|| 评分：2.9|| 导演: 摩撒利|| 主演: 丁汇宇 / 殷果儿 / 徐千京|| 类型: 惊悚 / 恐怖|| 制片国家/地区: 中国大陆|| 年份: 2016
兄弟之北漂歌手|| 评分：5.0|| 导演: 王子|| 主演: 石昊正 / 刘佳兰 / 廖望|| 类型: 剧情 / 动作 / 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
非常绑架|| 评分：5.0|| 导演: 张彤|| 主演: 姜艺声 / 高川 / 贾漪娜|| 类型: 喜剧 / 爱情 / 犯罪|| 制片国家/地区: 中国大陆|| 年份: 2016
最后证言|| 评分：5.0|| 导演: 王山雨|| 主演: 马诗红 / 吴静一 / 张凯旋|| 类型: 剧情 / 犯罪|| 制片国家/地区: 中国大陆|| 年份: 2016
